Page Name,Page Slug,Last Modified
"Custom Order Status",custom-order-status,2024-01-04 13:41
"Ready For Hot Press",ready-for-hot-press,2023-09-12 12:26
"Ready To Print",ready-to-print,2023-09-12 12:27
"Ready To Sew Embroidery",ready-to-sew-embroidery,2023-09-12 12:27
"Needs Artwork",needs-artwork,2023-09-12 12:29
"Needs Mockup",needs-mockup,2023-09-12 12:30
"Needs Proof",needs-proof,2023-09-12 12:31
"Needs Sewout",needs-sewout,2023-09-12 12:31
"Waiting On Art Approval",waiting-on-art-approval,2023-09-12 12:32
"New Order",new-order,2023-09-12 12:34
"Quote",quote,2023-09-12 12:35
"Art Approved",art-approved,2023-09-12 12:37
"Out Of House Processing",out-of-house-processing,2023-09-12 12:38
"Billing Review",billing-review,2023-09-12 12:40
"Payment Request",payment-request,2023-09-12 12:41
"Shipped Ready For Pickup",shipped-ready-for-pickup,2023-11-21 04:38
"325618",325618,2023-12-19 04:03
"Paid Order Closed",paid-order-closed,2023-12-19 09:44
"Store Order",store-order,2024-01-04 13:41
